ID,part,material,plate,width_mm,depth_mm,height_mm,support_review,tool_library,STL
P02,base-matte-cover,PETG,1,174.0,116.0,9.0,True,False,parts/P02-base-matte-cover.stl
P30,upper-U-body,PETG,1,134.0,70.0,52.5,True,False,parts/P30-upper-U-body.stl
P37,yaw-bearing-pedestal,PETG,1,76.0,64.0,33.0,True,False,parts/P37-yaw-bearing-pedestal.stl
P01,base-electronics-shell,PETG,2,63.0,66.0,28.0,True,False,parts/P01-base-electronics-shell.stl
P14,hand-servo-cradle,PETG,2,90.0,67.0,47.5,True,False,parts/P14-hand-servo-cradle.stl
P15,lower-U-body,PETG,2,108.0,70.0,52.5,True,False,parts/P15-lower-U-body.stl
P35,wrist-pitch-cassette,PETG,2,53.8,70.0,46.0,True,False,parts/P35-wrist-pitch-cassette.stl
P38,yaw-rounded-skirt,PETG,2,94.0,96.0,10.0,True,False,parts/P38-yaw-rounded-skirt.stl
P03,elbow-flush-bearing-cap--1,PETG,3,58.0,58.0,4.0,False,False,parts/P03-elbow-flush-bearing-cap--1.stl
P04,elbow-flush-bearing-cap-1,PETG,3,58.0,58.0,4.0,False,False,parts/P04-elbow-flush-bearing-cap-1.stl
P07,electronics-service-lid,PETG,3,66.0,63.0,4.0,True,False,parts/P07-electronics-service-lid.stl
P11,fixed-jaw,PETG,3,28.0,97.259,8.0,True,False,parts/P11-fixed-jaw.stl
P12,gripper-tool-plate,PETG,3,48.0,52.0,6.0,True,False,parts/P12-gripper-tool-plate.stl
P19,moving-jaw,PETG,3,28.0,97.259,8.0,True,False,parts/P19-moving-jaw.stl
P20,pen-clamp-12mm-adapter,PETG,3,48.0,52.0,6.0,True,True,parts/P20-pen-clamp-12mm-adapter.stl
P24,shoulder-flush-bearing-cap--1,PETG,3,58.0,58.0,4.0,False,False,parts/P24-shoulder-flush-bearing-cap--1.stl
P25,shoulder-flush-bearing-cap-1,PETG,3,58.0,58.0,4.0,False,False,parts/P25-shoulder-flush-bearing-cap-1.stl
P32,wrist-cheek--1,PETG,3,32.0,53.762,5.0,False,False,parts/P32-wrist-cheek--1.stl
P05,elbow-motor-mount--1,PETG,4,53.0,31.0,5.5,True,False,parts/P05-elbow-motor-mount--1.stl
P06,elbow-motor-mount-1,PETG,4,53.0,31.0,5.5,True,False,parts/P06-elbow-motor-mount-1.stl
P13,hand-case-retainer,PETG,4,36.0,39.0,4.0,False,False,parts/P13-hand-case-retainer.stl
P21,pen-split-collet,PETG,4,26.0,26.0,26.0,True,True,parts/P21-pen-split-collet.stl
P22,roll-motor-cradle,PETG,4,54.0,36.0,9.0,True,False,parts/P22-roll-motor-cradle.stl
P23,shoulder-diamond-fascia,PETG,4,26.0,56.0,2.5,False,False,parts/P23-shoulder-diamond-fascia.stl
P26,shoulder-motor-mount--1,PETG,4,53.0,31.0,5.5,True,False,parts/P26-shoulder-motor-mount--1.stl
P27,shoulder-motor-mount-1,PETG,4,53.0,31.0,5.5,True,False,parts/P27-shoulder-motor-mount-1.stl
P28,tool-dock,PETG,4,52.0,48.0,6.0,True,False,parts/P28-tool-dock.stl
P29,universal-blank-adapter,PETG,4,48.0,52.0,6.0,True,True,parts/P29-universal-blank-adapter.stl
P31,wrist-case-retainer,PETG,4,38.0,42.0,5.0,True,False,parts/P31-wrist-case-retainer.stl
P33,wrist-cheek-1,PETG,4,32.0,53.762,5.0,False,False,parts/P33-wrist-cheek-1.stl
P34,wrist-cross-bridge,PETG,4,10.0,64.0,9.0,True,False,parts/P34-wrist-cross-bridge.stl
P36,wrist-vented-cover,PETG,4,30.946,49.75,3.0,False,False,parts/P36-wrist-vented-cover.stl
P08,fixed-TPU-pad-40,TPU,5,10.0,8.0,4.0,False,False,parts/P08-fixed-TPU-pad-40.stl
P09,fixed-TPU-pad-56,TPU,5,10.0,8.0,4.0,False,False,parts/P09-fixed-TPU-pad-56.stl
P10,fixed-TPU-pad-72,TPU,5,10.0,8.0,4.0,False,False,parts/P10-fixed-TPU-pad-72.stl
P16,moving-TPU-pad-40,TPU,5,10.0,8.0,4.0,False,False,parts/P16-moving-TPU-pad-40.stl
P17,moving-TPU-pad-56,TPU,5,10.0,8.0,4.0,False,False,parts/P17-moving-TPU-pad-56.stl
P18,moving-TPU-pad-72,TPU,5,10.0,8.0,4.0,False,False,parts/P18-moving-TPU-pad-72.stl
